도로종류,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,01,1272,37,411,1450,126
일반국도,02,1332,43,419,1646,100
일반국도,03,1498,37,429,1756,120
일반국도,04,1630,39,523,1952,124
일반국도,05,1638,43,477,1986,115
일반국도,06,1654,55,516,1982,123
일반국도,07,1605,34,522,1967,128
일반국도,08,1538,40,488,1821,132
일반국도,09,1651,41,532,1937,151
일반국도,10,1803,64,526,2124,146
일반국도,11,1793,48,510,2035,163
일반국도,12,1569,43,450,1770,135
지방도,01,981,26,328,1040,69
지방도,02,993,22,319,1146,81
지방도,03,1142,29,338,1269,102
지방도,04,1153,32,411,1263,106
지방도,05,1208,25,402,1352,119
지방도,06,1170,24,411,1265,108
지방도,07,1340,28,437,1476,150
지방도,08,1179,30,354,1315,122
지방도,09,1155,25,368,1269,100
지방도,10,1280,34,429,1436,117
지방도,11,1280,34,413,1362,143
지방도,12,1110,32,345,1224,88
특별광역시도,01,6180,33,1476,6594,469
특별광역시도,02,5891,64,1449,6255,509
특별광역시도,03,6752,51,1705,7206,592
특별광역시도,04,6942,37,1792,7291,552
특별광역시도,05,6890,53,1686,7293,594
특별광역시도,06,6939,48,1780,7142,598
특별광역시도,07,6932,69,1675,7248,568
특별광역시도,08,6436,62,1565,6793,517
특별광역시도,09,6621,61,1621,6905,511
특별광역시도,10,6874,69,1682,7321,575
특별광역시도,11,6981,58,1738,7275,586
특별광역시도,12,6667,62,1496,6975,561
시도,01,4929,59,1340,5421,329
시도,02,4782,42,1395,5234,336
시도,03,5325,54,1517,5850,315
시도,04,5678,70,1658,6119,375
시도,05,5516,82,1540,5950,394
시도,06,5530,59,1590,5953,378
시도,07,5852,72,1610,6286,380
시도,08,5119,69,1431,5589,369
시도,09,5376,68,1505,5712,357
시도,10,6004,87,1672,6391,384
시도,11,5796,89,1639,6094,457
시도,12,5588,83,1480,5918,438
군도,01,457,17,195,426,27
군도,02,397,4,147,368,21
군도,03,480,11,173,427,50
군도,04,591,16,224,599,37
군도,05,585,21,217,555,46
군도,06,669,19,273,660,62
군도,07,654,28,262,647,34
군도,08,597,19,250,581,46
군도,09,603,15,245,570,54
군도,10,654,20,267,613,44
군도,11,627,21,262,595,22
군도,12,534,17,175,515,30
고속국도,01,352,18,118,475,43
고속국도,02,368,21,126,574,44
고속국도,03,411,16,155,561,73
고속국도,04,330,7,114,520,32
고속국도,05,429,20,164,714,68
고속국도,06,422,11,133,629,53
고속국도,07,442,10,128,700,66
고속국도,08,422,17,149,689,62
고속국도,09,421,16,132,670,62
고속국도,10,447,16,116,719,52
고속국도,11,449,19,154,667,50
고속국도,12,390,20,103,534,59
기타,01,738,7,180,735,71
기타,02,748,7,185,744,62
기타,03,992,11,245,953,92
기타,04,1079,11,261,1078,111
기타,05,1112,11,286,1061,106
기타,06,1191,11,316,1206,112
기타,07,1169,13,327,1135,124
기타,08,1127,10,279,1118,112
기타,09,1185,20,303,1121,127
기타,10,1238,22,307,1257,129
기타,11,1170,16,292,1146,103
기타,12,1076,12,242,1063,122
